timestamp,trained_epochs,exit_status,exit_category,task,algo,avg_reward,avg_steps,checkpoint,test_episodes,num_envs,motion_file,total_episodes,run_id,pid,error_detail,seed,headless,start_time,end_time,duration_seconds,duration_human,command
2026-03-24T17:04:57,2000,,,HRLDualHumanoid,hrl_dual,15.619514214754105,19.798,output/SkillMimicDualHRL_20260319-15-53-47/nn/SkillMimicDualHRL.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,,,,4516,True,2026-03-24T16:46:24,2026-03-24T17:04:57,1113.4,0h 18m 33s,skillmimic/run.py --test --task HRLDualHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_dual_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_dual_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/SkillMimicDualHRL_20260319-15-53-47/nn/SkillMimicDualHRL.pth --test_episodes 500 --headless
2026-03-24T17:18:27,2000,,,HRLCTDEHumanoid,hrl_ctde,25.892542062968015,21.58,output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,,,,9664,True,2026-03-24T16:46:15,2026-03-24T17:18:27,1931.4,0h 32m 11s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth --test_episodes 500 --headless
2026-03-26T15:20:25,5000,completed,normal,HRLCTDEHumanoid,hrl_ctde,25.75194157123566,22.3,output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth,50,1,skillmimic/data/motions/BallPlay-M/pass,50,26a920edf48b458cb003552a4f71d249,271918,,1020,False,2026-03-26T15:16:59,2026-03-26T15:20:25,205.8,0h 3m 25s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth --test_episodes 50
2026-03-26T15:43:11,5000,completed,normal,HRLCTDEHumanoid,hrl_ctde,45.096145788431166,29.76,output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth,50,1,skillmimic/data/motions/BallPlay-M/pass,50,3cfa89dee1b741c4817f0cd750fd9182,280510,,7415,False,2026-03-26T15:38:37,2026-03-26T15:43:11,273.5,0h 4m 33s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth --test_episodes 50
2026-03-26T16:27:06,5000,completed,normal,HRLCTDEHumanoid,hrl_ctde,38.53730735778809,30.0,output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth,50,1,skillmimic/data/motions/BallPlay-M/pass,50,8d220e2e096a440b8ad1acd5daa4d370,284503,,76,False,2026-03-26T15:49:15,2026-03-26T16:27:06,2270.4,0h 37m 50s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth --test_episodes 50 --save_images
2026-03-26T19:26:50,5001,completed,normal,HRLDualHumanoid,hrl_dual,20.854724491596222,25.14,output/SkillMimicDualHRL_20260319-15-53-47/nn/SkillMimicDualHRL.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,ca4679de36c54080bbb8be21e0a34e29,351021,,9996,True,2026-03-26T19:02:42,2026-03-26T19:26:50,1448.0,0h 24m 8s,skillmimic/run.py --test --task HRLDualHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_dual_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_dual_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/SkillMimicDualHRL_20260319-15-53-47/nn/SkillMimicDualHRL.pth --test_episodes 500 --headless
2026-03-27T16:55:02,8001,system_exit,interrupted,HRLCTDEHumanoid,hrl_ctde,,,output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth,50,1,skillmimic/data/motions/BallPlay-M/pass,,b3065c7f1a0d454895bb987311f9136b,410667,None,6204,False,2026-03-27T16:51:21,2026-03-27T16:55:02,220.3,0h 3m 40s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth --test_episodes 50
2026-03-27T16:55:56,8001,error,failed,HRLCTDEHumanoid,hrl_ctde,,,output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,,653e2af009fa4af0aa34a3732989677d,411998,"RuntimeError('CUDA error: an illegal memory access was encountered\nCUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.\nFor debugging consider passing CUDA_LAUNCH_BLOCKING=1\nCompile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.\n')",303,True,2026-03-27T16:55:52,2026-03-27T16:55:56,4.0,0h 0m 4s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth --test_episodes 500 --headless
2026-03-27T17:27:21,8001,completed,normal,HRLCTDEHumanoid,hrl_ctde,57.12172649741173,31.116,output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,51ed1e62e0ca4beb96d8c605b781c714,412342,,260,True,2026-03-27T16:56:23,2026-03-27T17:27:21,1857.8,0h 30m 57s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth --test_episodes 500 --headless
2026-03-31T13:28:55,11000,system_exit,interrupted,HRLCTDEHumanoid,hrl_ctde,,,output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,,63f91534deb346eb97f25d7ad3e3984a,303705,None,260,False,2026-03-31T13:28:21,2026-03-31T13:28:55,34.5,0h 0m 34s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth --seed 260 --test_episodes 500
2026-03-31T13:32:34,11000,completed,normal,HRLCTDEHumanoid,hrl_ctde,52.52658405780792,29.16,output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth,50,1,skillmimic/data/motions/BallPlay-M/pass,50,2f15871dcad244f9bd0df252e7fb9709,304318,,260,False,2026-03-31T13:29:43,2026-03-31T13:32:34,171.1,0h 2m 51s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth --seed 260 --test_episodes 50
2026-03-31T13:34:11,11000,system_exit,interrupted,HRLCTDEHumanoid,hrl_ctde,,,output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth,50,1,skillmimic/data/motions/BallPlay-M/pass,,86af995e81b2437b868d3ea00490920e,305540,None,260,False,2026-03-31T13:32:57,2026-03-31T13:34:11,74.1,0h 1m 14s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth --seed 260 --test_episodes 50
2026-03-31T13:57:30,11000,completed,normal,HRLCTDEHumanoid,hrl_ctde,44.87311542987823,28.26,output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth,50,1,skillmimic/data/motions/BallPlay-M/pass,50,bc8b7c1d1cb949beb0086efba91d3323,306141,,260,False,2026-03-31T13:34:16,2026-03-31T13:57:30,1394.1,0h 23m 14s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/SkillMimicCTDE_20260313-18-06-00/nn/SkillMimicCTDE.pth --seed 260 --test_episodes 50 --save_images
2026-04-01T13:25:20,2001,keyboard_interrupt,interrupted,HRLCTDEHumanoid,hrl_ctde,,,output/CTDE_2000_20260331-13-48-07/nn/CTDE_2000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,,e7444c6a836c4e38a3a0d3cff7fa5659,388723,interrupted by signal 2,0,True,2026-04-01T13:24:38,2026-04-01T13:25:20,41.5,0h 0m 41s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_2000_20260331-13-48-07/nn/CTDE_2000.pth --seed 0 --test_episodes 500 --headless
2026-04-01T13:25:23,2001,keyboard_interrupt,interrupted,HRLCTDEHumanoid,hrl_ctde,,,output/CTDE_2000_20260331-13-48-07/nn/CTDE_2000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,,8b2b41fc23a74d89a91156539ad3f913,389146,interrupted by signal 2,1,True,2026-04-01T13:25:23,2026-04-01T13:25:23,0.7,0h 0m 0s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_2000_20260331-13-48-07/nn/CTDE_2000.pth --seed 1 --test_episodes 500 --headless
2026-04-01T13:56:25,2001,completed,normal,HRLCTDEHumanoid,hrl_ctde,51.08771460199356,30.298,output/CTDE_2000_20260331-13-48-07/nn/CTDE_2000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,80145798da8140a3b04629bea98c3c03,389334,,0,True,2026-04-01T13:25:35,2026-04-01T13:56:25,1850.4,0h 30m 50s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_2000_20260331-13-48-07/nn/CTDE_2000.pth --seed 0 --test_episodes 500 --headless
2026-04-01T14:27:27,2001,completed,normal,HRLCTDEHumanoid,hrl_ctde,51.6429485104084,30.442,output/CTDE_2000_20260331-13-48-07/nn/CTDE_2000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,57b255b3e5614ff495452beed34610ee,395727,,1,True,2026-04-01T13:56:29,2026-04-01T14:27:27,1858.9,0h 30m 58s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_2000_20260331-13-48-07/nn/CTDE_2000.pth --seed 1 --test_episodes 500 --headless
2026-04-01T14:56:48,2001,completed,normal,HRLCTDEHumanoid,hrl_ctde,43.97951206755638,28.666,output/CTDE_2000_20260331-13-48-07/nn/CTDE_2000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,ec807a807aec4be4b9d01fe6f8df0728,397731,,2,True,2026-04-01T14:27:31,2026-04-01T14:56:48,1757.2,0h 29m 17s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_2000_20260331-13-48-07/nn/CTDE_2000.pth --seed 2 --test_episodes 500 --headless
2026-04-01T15:27:23,2001,completed,normal,HRLCTDEHumanoid,hrl_ctde,51.401439502835274,29.842,output/CTDE_2000_20260331-13-48-07/nn/CTDE_2000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,f5aad8dfb1704edb82e070b87b758e4c,399661,,3,True,2026-04-01T14:56:51,2026-04-01T15:27:23,1831.9,0h 30m 31s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_2000_20260331-13-48-07/nn/CTDE_2000.pth --seed 3 --test_episodes 500 --headless
